value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,,,syscall_exit_open,,,,,0,,365108208,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,,,,322,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,92237550890445,,,23,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,655,,,,,,,,,,,41247715,,,23,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,0,,,,,,,,,,,41297142,,,23,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,41300840,,,23,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8192cu.conf,,,,,41310475,,,23,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,20,,,,,,,,,,,41327038,,,23,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,0,,,,,,,,,,,41364538,,,23,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,41368652,,,23,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8xxxu.conf,,,,,41377090,,,23,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,19,,,,,,,,,,,41392610,,,23,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,0,,,,,,,,,,,41421777,,,23,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,41425787,,,23,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/dkms.conf,,,,,41433339,,,23,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,127,,,,,,,,,,,41448287,,,23,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,0,,,,,,,,,,,41479641,,,23,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,41483808,,,23,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d/fbdev-blacklist.conf,,,,,41491829,,,23,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,390,,,,,,,,,,,41507610,,,23,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,24028304,,0,,,,,,,,,,,41578964,,,23,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,730216416,,,,,,,,843800,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,41600682,,,23,,,,,,,,
