value,optlen,family,argv,mode,size,_vtids_length,tidptr,parent_comm,count,transport_header_type,a_nomEvent,window_size,child_ns_inum,child_pid,old_tid,stream_id,dfd,d_timestamp,vtids,version,p_name,egid,grouplist,tcache,head,content_size,network_header_type,parent_pid,seq,newsp,len,child_tid,dest_port,saddr,uid,frag_off,ruid,nodep,sig,ihl,type,tid,ovalue,data_offset,level,reserved,events_discarded,fd,tos,envp,id,checksum,euid,optname,fildes,sgid,gid,pid,ack_seq,stream_instance_id,how,parent_tid,cpu_id,pathname,comm,name,clone_flags,child_comm,buf,which,ret,urg_ptr,uservaddr,skbaddr,prio,daddr,filename,parent_ns_inum,rgid,cpup,ttl,timestamp,bufsiz,suid,packet_seq_num,tot_len,optval,source_port,flags,addrlen,protocol,gidsetsize,dirent
,,,,,,,,,32768,,syscall_getdents64,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,208,,,,,,,,,,,92234819660253,,,13,,,,,,,,25358672
,,,,,,,,,32768,,syscall_getdents64,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,92234819735305,,,13,,,,,,,,25358672
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,128622572,,,13,,,,,,,,
,,,,16384,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d,,,,,128707675,,,13,,,,673792,,,,
,,,,,,,,,32768,,syscall_getdents64,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,120,,,,,,,,,,,92234819840669,,,13,,,,,,,,25391616
,,,,,,,,,32768,,syscall_getdents64,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,178,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,92234819896710,,,13,,,,,,,,25391616
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,128783717,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d/aliases.conf,,,,,128819394,,,13,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,655,,,,,,,,,,,129017049,,,13,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,0,,,,,,,,,,,129096528,,,13,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,129149080,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8192cu.conf,,,,,129163142,,,13,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,20,,,,,,,,,,,129212569,,,13,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,0,,,,,,,,,,,129221475,,,13,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,129247777,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/blacklist-rtl8xxxu.conf,,,,,129257725,,,13,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,19,,,,,,,,,,,129290069,,,13,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,0,,,,,,,,,,,129323193,,,13,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,129326943,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/dkms.conf,,,,,129334808,,,13,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,127,,,,,,,,,,,129351214,,,13,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,0,,,,,,,,,,,129387724,,,13,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,129391162,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modprobe.d/fbdev-blacklist.conf,,,,,129400433,,,13,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,390,,,,,,,,,,,129437151,,,13,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,0,,,,,,,,,,,129490380,,,13,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,129493818,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/etc/modprobe.d/ipv6.conf,,,,,129501422,,,13,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,65,,,,,,,,,,,129518036,,,13,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,0,,,,,,,,,,,129528401,,,13,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,129531838,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.softdep,,,,,129566942,,,13,,,,655360,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,55,,,,,,,,,,,129586734,,,13,,,,,,,,
,,,,,,,,,4096,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,25359504,,0,,,,,,,,,,,129592619,,,13,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,129595796,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/proc/cmdline,,,,,129601786,,,13,,,,655360,,,,
,,,,,,,,,4095,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122820364,,259,,,,,,,,,,,129651421,,,13,,,,,,,,
,,,,,,,,,3836,,syscall_read,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,17,,,,,,,,,0,,,0,,,,,,2122820623,,0,,,,,,,,,,,129693921,,,13,,,,,,,,
,,,,,,,,,,,syscall_close,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,0,,,20,,,,,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,129697150,,,13,,,,,,,,
,,,,0,,,,,,,syscall_open,,,,,0,,240674722,,,,,,,,542160,,,,,,,,,,,,,,,,,,,,,0,,,,19,,,,,,,,,0,,,0,,,,,,,,0,,,,,,/lib/modules/4.9.80-v7+/modules.dep.bin,,,,,129748608,,,13,,,,655360,,,,
